userId,movieId,rating
0,920,1
186,1617,3
244,266,2
166,1729,1
115,1610,2
253,362,5
305,1380,3
6,515,3
286,1513,5
200,1356,5
210,203,3
224,153,3
303,289,3
122,412,5
194,7,2
291,257,4
119,491,4
167,915,4
299,1036,4
291,736,2
308,1,4
95,95,2
38,588,5
102,158,2
63,43,4
160,1387,5
50,1639,3
301,593,4
225,1231,4
290,539,4
97,1234,3
157,7,4
278,904,5
276,378,1
7,162,4
10,68,4
284,986,4
201,882,2
276,330,3
287,1589,5
242,1046,5
249,1408,5
99,21,5
178,1620,3
251,608,4
81,1282,2
260,1422,4
25,1210,5
59,1246,5
87,370,4
290,1035,5
42,1097,5
115,85,3
20,1407,1
201,1347,4
13,1287,3
138,144,5
167,1378,1
60,1207,5
57,986,5
223,7,4
243,62,3
92,840,1
246,1012,3
194,1131,4
241,1619,2
178,1500,4
254,1018,3
293,22,3
127,1375,5
225,1393,5
299,1375,3
225,908,5
276,292,3
291,1036,5
222,31,4
267,1245,5
42,592,3
11,708,4
95,1025,4
8,1665,4
162,141,4
87,1552,4
279,1080,5
145,17,2
119,346,5
62,969,4
62,345,3
28,1288,4
135,111,4
32,1485,3
90,345,5
286,1278,4
293,494,3
216,1036,4
166,1597,5
250,953,4
271,919,5
265,736,4
198,969,3
42,589,5
58,1036,4
90,1226,4
271,1729,4
62,107,3
279,885,3
237,1230,4
94,322,4
128,914,3
298,475,4
44,1240,5
264,1258,5
194,380,2
72,1240,5
222,1693,5
250,1603,3
41,1610,3
224,1488,3
82,924,3
262,279,4
293,647,3
216,1268,3
250,1015,3
59,111,5
244,605,4
7,903,4
174,65,1
87,7,4
194,425,2
82,1054,2
13,936,2
13,1704,4
244,5,2
305,1207,5
95,304,2
299,215,4
57,1028,3
84,648,3
269,1084,4
299,708,3
194,373,4
160,924,4
99,1639,3
10,915,4
259,733,4
85,1207,3
213,6,5
121,1230,3
90,593,5
42,361,3
155,1438,2
68,733,4
19,21,4
268,1377,4
5,10,3
305,733,2
44,1485,4
43,994,4
279,810,1
80,373,5
254,1127,4
298,376,3
66,1573,4
18,1333,3
268,1020,2
99,457,4
13,593,4
26,1584,3
222,2,4
200,1344,5
119,1597,4
276,1422,3
94,23,3
38,1597,4
293,159,3
26,836,2
130,1307,4
92,829,3
256,1388,4
72,246,4
56,2,3
15,648,2
92,454,3
207,830,2
232,912,5
251,1479,2
224,144,3
181,1353,4
259,1569,4
305,647,4
52,140,3
161,1265,5
125,1391,2
58,125,4
83,1387,4
90,1747,4
272,1203,5
194,1210,3
125,898,4
110,1602,1
151,41,5
269,858,4
54,640,3
303,356,5
16,516,1
301,333,4
276,1030,3
194,3,2
91,1438,2
87,208,4
294,671,4
286,1175,4
200,527,5
229,1597,1
178,377,4
303,1014,2
62,337,4
207,628,3
301,585,4
36,1667,5
70,1297,3
279,353,4
14,593,3
194,292,3
303,605,3
119,1393,5
295,1343,5
268,836,2
268,10,2
66,1584,4
233,1265,5
83,1021,4
214,1627,3
192,830,2
100,1694,4
268,1037,1
301,296,4
307,541,5
234,1019,3
83,434,4
181,1603,2
297,920,4
38,1079,5
7,345,4
264,581,4
181,1477,1
85,1104,4
269,39,3
59,524,3
286,1035,4
193,589,1
113,782,5
130,1513,3
275,593,4
189,1262,5
219,480,1
218,1288,5
123,1207,3
119,1356,5
222,736,4
302,1422,2
279,1029,3
301,457,5
181,18,2
201,72,1
145,1393,5
23,380,4
201,152,4
296,899,5
42,95,3
33,1477,3
301,208,3
16,318,5
95,924,3
154,1193,4
77,913,5
296,1120,5
302,1633,2
244,1344,3
222,454,4
13,1302,5
16,899,5
270,1388,4
145,62,2
187,318,5
200,986,5
170,1629,5
101,809,3
184,1343,3
128,1270,4
184,1079,3
1,163,4
1,1095,4
184,1414,5
54,782,3
94,1690,4
128,1120,4
23,1438,2
301,1372,3
301,1225,3
112,1733,1
82,1214,3
222,222,3
218,1256,3
308,635,4
303,923,5
133,1722,3
215,1295,2
254,1286,4
276,10,4
104,1055,1
63,101,3
267,785,4
13,296,5
240,1616,3
286,1393,2
294,1676,5
18,144,4
92,1375,3
308,1227,4
144,541,3
191,1617,4
59,60,3
